Page,Codename,URL,"Total Interactions",Likes,Comments,Shares,"Owned Post Views","Owned Views from Shares","Owned Total Views","Percentage Views from Owned Posts","Views on Shared Posts","Views While Live","Video Time","3-Min+ Videos",Loves,Wows,Hahas,Sads,Angrys,"All Interaction Rate",Photos,Links,Statuses,"Facebook Videos","Other Videos","Total Posts","Photo Posts","Link Posts","Status Posts","Owned Video Posts","Shared Video Posts","Other Video Posts","Posts Per Day","Page Likes","Page Growth","Page Growth %"
"Milenio Tamaulipas",MilenioTamaulipas,http://www.facebook.com/227796447316928,"1,728,172","729,574","107,912","425,066","2,274,105","524,980","2,799,085",81%,"676,762.00","4,856",03:57:36,11,"77,245","151,882","113,409","67,036","56,048",0.03%,0.00%,0.03%,0.32%,0.40%,0.00%,16306,981,14752,11,138,423,1,44.67,"324,740","10,042.00",3.19%
"Cultura Colectiva Arte",culturacolectivaarte,http://www.facebook.com/560941557397225,"1,718,984","578,127","40,804","906,548","8,574,161","12,863,937","21,438,098",40%,"8,675.00",0,13:00:44,212,"141,513","35,023","9,527","6,337","1,105",0.04%,0.03%,0.02%,0.01%,0.18%,--,2452,189,1925,25,306,7,0,6.72,"1,691,924","114,305.00",7.25%
"Noticias Mex",RepublicaMXEnLinea,http://www.facebook.com/125784487439635,"1,687,810","337,876","202,234","747,444","14,414,546","10,141,284","24,555,830",59%,"612,798.00","9,263",13:33:36,91,"45,642","25,132","263,967","8,586","56,929",0.05%,0.13%,0.01%,0.12%,0.46%,0.01%,4974,523,4007,110,265,65,4,13.63,"687,449","34,447.00",5.28%
Quién,quiencom,http://www.facebook.com/114459455299316,"1,601,606","829,698","108,687","238,412","19,029,890","3,472,803","22,502,693",85%,"3,259.00","125,998",05:50:37,26,"202,767","64,707","90,552","45,512","21,271",0.03%,0.05%,0.02%,0.01%,0.17%,0.00%,8508,626,7493,3,373,8,5,23.31,"758,379","21,600.00",2.93%
Parentesis.com,parentesis,http://www.facebook.com/159509453662,"1,495,130","588,300","99,636","265,479","9,647,620","1,207,141","10,854,761",89%,"5,150.00","83,512",38:45:19,230,"106,886","81,241","318,346","24,442","10,800",0.02%,0.04%,0.01%,0.00%,0.04%,0.00%,6351,902,5127,1,313,7,1,17.40,"1,278,892","-8,098.00",-0.63%
"GQ México",GQMexicoLatinoamerica,http://www.facebook.com/226955241880,"1,428,777","727,352","88,701","300,626","2,490,129","54,783","2,544,912",98%,"145,842.00",468,03:17:40,5,"107,147","57,155","117,510","18,715","11,571",0.01%,0.03%,0.01%,0.01%,0.01%,0.00%,10541,443,9828,15,219,35,1,28.88,"943,195","2,918.00",0.31%
"Cultura Colectiva Cine",culturacolectivacine,http://www.facebook.com/421303551395816,"1,357,453","506,742","42,028","532,475","9,862,533","8,335,302","18,197,835",54%,"56,538.00",0,12:02:28,178,"228,697","24,696","13,276","8,249","1,290",0.05%,0.01%,0.02%,0.01%,0.52%,0.01%,5038,173,4412,42,338,47,26,13.80,"587,017","73,373.00",14.28%
"Dinero en Imagen",DineroEnImagen,http://www.facebook.com/338366906234615,"1,251,392","530,254","69,431","405,969","75,883","31,522","107,405",71%,"35,268.00","24,624",01:53:46,11,"43,423","66,645","90,505","16,669","28,496",0.06%,0.01%,0.06%,0.01%,0.01%,0.00%,7444,81,7203,3,82,74,1,20.39,"282,066","20,864.00",7.99%
"Cultura Colectiva Música",culturacolectivamusica,http://www.facebook.com/722378527868160,"1,243,354","495,372","46,052","386,669","8,912,442","5,370,789","14,283,231",62%,"163,014.00","4,819",16:40:23,179,"210,591","27,003","44,101","30,614","2,952",0.01%,0.01%,0.01%,0.01%,0.05%,0.00%,4814,419,3600,45,523,57,170,13.19,"1,999,490","51,823.00",2.66%
Tododeportes,TodoDeportespl,http://www.facebook.com/596280283725608,"1,156,096","857,513","74,866","62,627","1,361,743","1,782,150","3,143,893",43%,"53,730.00","235,124",00:44:13,4,"43,571","15,728","77,035","11,445","13,311",0.09%,0.03%,0.09%,0.07%,0.17%,0.01%,5566,464,4939,6,141,14,2,15.25,"238,625","13,312.00",5.91%
"Periódico a.m. Querétaro",PeriodicoAmQueretaro,http://www.facebook.com/142343069226099,"1,133,103","468,414","125,287","243,738","6,505,487","656,997","7,162,484",91%,"77,034.00","64,526",22:38:27,65,"56,386","49,996","106,220","23,715","59,347",0.01%,0.01%,0.02%,0.02%,0.02%,0.00%,12196,3978,7180,22,928,85,3,33.41,"679,398","101,481.00",17.56%
Nómada,nomadagt,http://www.facebook.com/463999707043103,"1,081,941","355,320","85,703","370,422","498,800","296,019","794,819",63%,"11,911.00","68,587",01:45:40,12,"27,916","29,264","48,347","25,501","139,468",0.22%,0.24%,0.21%,0.15%,0.30%,--,2966,167,2691,7,95,6,0,8.13,"171,697","10,420.00",6.46%
"Diario De Xalapa",OEMDiariodeXalapa,http://www.facebook.com/825698354190421,"1,080,379","420,097","47,151","338,102","646,092","334,721","980,813",66%,"36,408.00","31,026",03:29:37,2,"20,180","109,296","46,698","56,750","42,105",0.05%,0.02%,0.05%,0.03%,0.09%,0.00%,26167,455,25165,10,345,170,22,71.69,"91,215","22,746.00",33.22%
"Cultura Colectiva Comida",culturacolectivacomida,http://www.facebook.com/224067067952809,"1,074,001","562,139","47,108","337,110","28,554,245","6,140,066","34,694,311",82%,"7,844.00",0,15:27:50,219,"92,230","27,969","5,370","1,124",951,0.14%,0.01%,0.00%,0.01%,0.52%,--,1241,31,871,4,325,10,0,3.40,"685,865","127,719.00",22.88%
"Leones de Yucatán",leonesdeyucatan,http://www.facebook.com/334079214498,"957,025","530,636","114,592","118,558","2,654,185","579,295","3,233,480",82%,"68,994.00","1,784,210",03:13:36,6,"142,665","11,056","18,339","13,039","8,140",0.17%,0.17%,0.17%,0.15%,0.19%,0.02%,2406,1585,370,10,420,20,1,6.59,"236,372","15,859.00",7.19%
"Glamour México y Latinoamérica",GlamourMexicoLatinoamerica,http://www.facebook.com/169452849771461,"860,654","426,981","52,898","178,234","6,138,675","1,341,711","7,480,386",82%,"113,800.00","1,204",06:45:29,30,"98,712","24,564","62,502","12,779","3,984",0.00%,0.02%,0.00%,0.01%,0.02%,0.00%,12623,490,11535,135,443,19,1,34.58,"1,582,108","-2,325.00",-0.15%
"Periódico HOY",periodicohoy,http://www.facebook.com/316762933316,"825,263","323,547","53,393","176,580","217,298","27,827","245,125",89%,"102,247.00","2,962",01:40:34,2,"28,365","35,060","67,361","81,625","59,332",0.03%,0.02%,0.03%,--,0.18%,0.09%,6848,670,6115,0,10,50,3,18.76,"395,618","-1,527.00",-0.38%
"Milenio Torreon",mileniotorreon,http://www.facebook.com/387641760662,"796,645","321,138","55,166","183,448","307,259","147,343","454,602",68%,"293,760.00",58,00:50:10,1,"35,738","70,056","68,097","33,741","29,261",0.06%,0.04%,0.07%,0.02%,0.10%,0.00%,10942,670,9702,13,82,473,2,29.98,"121,606","9,893.00",8.86%
"Milenio Diario Jalisco",MilenioDiarioJalisco,http://www.facebook.com/158103737589705,"779,000","310,566","54,359","182,340","19,815","6,334","26,149",76%,"667,748.00","1,929",00:02:43,0,"36,719","50,260","74,133","28,035","42,588",0.04%,0.01%,0.05%,0.00%,0.07%,0.00%,8742,492,7686,101,7,455,1,23.95,"221,618","3,793.00",1.74%
"Architectural Digest Mexico",ADMexicoLatinoamerica,http://www.facebook.com/258529684091,"752,006","480,292","12,387","183,108","4,339,024","397,405","4,736,429",92%,"13,661.00","1,329",04:34:43,7,"63,625","7,787","1,991","2,521",295,0.01%,0.01%,0.01%,0.00%,0.03%,0.00%,8849,1062,7512,26,241,7,1,24.24,"999,999","32,650.00",3.38%
"El Sol de Tijuana",ElSoldeTijuana.OEM,http://www.facebook.com/289650544388752,"721,185","312,338","89,829","162,698","5,545,459","2,897,976","8,443,435",66%,"119,945.00","321,871",19:46:58,63,"22,206","49,287","32,147","22,269","30,411",0.05%,0.03%,0.05%,0.01%,0.16%,0.01%,20173,1983,16525,18,1464,181,2,55.27,"79,791","29,360.00",58.22%
"El Sol de México",elsoldemex,http://www.facebook.com/341931715916394,"684,120","249,531","53,171","224,731","3,558,529","1,839,062","5,397,591",66%,"48,930.00","178,600",25:18:40,50,"43,962","18,984","37,279","30,279","26,183",0.03%,0.02%,0.02%,0.01%,0.11%,0.00%,28004,2637,23203,31,1998,97,38,76.72,"102,356","20,312.00",24.76%
Mural.com,Mural,http://www.facebook.com/204931046208570,"677,600","199,203","88,323","167,590","9,214,355","644,195","9,858,550",93%,"40,505.00",0,01:59:14,4,"29,160","28,817","86,179","15,087","63,241",0.07%,0.06%,0.07%,0.01%,0.29%,0.03%,8046,4150,3571,11,158,87,69,22.04,"132,371","15,532.00",13.29%
SIPSE.com,sipsepuntocom,http://www.facebook.com/106996835994352,"663,437","181,068","33,317","289,872","132,221","189,818","322,039",41%,"108,920.00",495,00:22:26,0,"21,928","50,020","37,408","23,161","26,663",0.08%,0.02%,0.08%,0.03%,0.47%,0.01%,8338,233,7979,5,31,89,1,22.84,"98,789","9,456.00",10.59%
"Cultura Colectiva Viajes",culturacolectivaviajes,http://www.facebook.com/1595366344047690,"659,069","246,605","24,635","300,947","9,113,380","4,550,563","13,663,943",67%,"13,913.00",0,29:17:39,512,"65,910","15,359","2,079","2,955",579,0.02%,0.00%,0.00%,0.00%,0.06%,--,1607,19,959,3,621,5,0,4.40,"1,645,354","9,830.00",0.60%
"Periódico AM Irapuato",periodicoamirapuato,http://www.facebook.com/1431808590440283,"655,621","307,681","29,668","150,221","1,237,712","1,034,305","2,272,017",54%,"66,976.00","184,229",01:30:59,7,"10,393","60,056","19,268","37,869","40,465",0.12%,0.04%,0.11%,0.06%,0.35%,0.00%,12603,128,11917,3,445,109,1,34.53,"53,202","19,079.00",55.91%
"El Faro",elfaronet,http://www.facebook.com/136606419725742,"569,557","228,482","78,746","142,881","1,281,224","220,851","1,502,075",85%,"24,192.00","144,477",04:47:23,15,"13,406","15,505","42,591","13,165","34,781",0.02%,0.01%,0.02%,0.03%,0.02%,0.00%,8596,578,7706,5,281,19,7,23.55,"403,143","7,852.00",1.99%
"Revista moi",revistamoi,http://www.facebook.com/632728923450945,"509,797","290,868","24,181","118,843","3,885,055","905,677","4,790,732",81%,"106,881.00","247,286",02:42:39,4,"45,289","12,131","14,663","3,536",286,0.04%,0.09%,0.03%,--,0.08%,0.01%,3129,490,2331,0,271,35,2,8.57,"422,035","28,903.00",7.35%
"Milenio Monterrey",mileniomonterrey,http://www.facebook.com/171133289738,"427,762","133,085","35,956","105,854","13,196","4,481","17,677",75%,"244,912.00",0,00:04:53,0,"25,988","32,532","54,092","19,461","20,794",0.02%,0.00%,0.02%,0.00%,0.04%,--,15276,691,14139,5,11,430,0,41.85,"125,799","2,850.00",2.32%
"Cultura Colectiva Moda",culturacolectivamoda,http://www.facebook.com/1726936984239985,"409,518","212,658","9,386","109,740","5,831,807","2,040,368","7,872,175",74%,"3,748.00","107,331",16:42:02,315,"61,394","11,365","3,198","1,506",271,0.01%,0.00%,0.00%,0.00%,0.05%,--,4279,89,3816,27,336,11,0,11.72,"1,133,405","-14,826.00",-1.29%
"El Sol de Zacatecas",Solzac,http://www.facebook.com/240853109309773,"352,238","197,431","14,649","64,933","191,776","65,693","257,469",74%,"84,152.00","50,805",02:10:41,2,"17,722","23,587","11,821","13,462","8,633",0.02%,0.01%,0.02%,0.00%,0.03%,0.00%,15535,95,15023,33,234,136,14,42.56,"107,814","5,630.00",5.51%
"Conclusiones CNN",conclusionescnn,http://www.facebook.com/199632623398731,"314,556","138,537","34,795","84,886","58,145","41,814","99,959",58%,"49,026.00",0,00:03:24,0,"12,976","5,203","14,338","11,483","12,338",0.04%,0.04%,0.04%,0.01%,0.08%,--,815,22,780,1,5,7,0,2.23,"891,547","23,750.00",2.74%
"Cultura Colectiva Letras",culturacolectivaletras,http://www.facebook.com/941888425861383,"197,276","70,202","3,145","95,582","1,346,362","786,813","2,133,175",63%,529.00,0,08:00:03,148,"22,515","2,670",816,"2,260",86,0.03%,0.04%,0.01%,0.00%,0.15%,--,1570,66,1342,2,155,5,0,4.30,"468,113","3,043.00",0.65%
"El Sol de Durango",soldedurango,http://www.facebook.com/1084777511595699,"186,086","93,948","8,339","42,090","537,485","464,028","1,001,513",54%,"10,290.00","20,828",06:44:01,9,"6,540","14,797","4,921","10,446","5,005",0.03%,0.04%,0.03%,0.01%,0.09%,0.01%,13778,1337,11859,51,485,27,19,37.75,"51,105","15,474.00",43.43%
"Cultura Colectiva Tecnología",culturacolectivatecnologia,http://www.facebook.com/244180355934307,"172,036","29,351","3,709","124,903","1,508,476","1,052,686","2,561,162",59%,528.00,908,17:19:18,324,"4,719","4,205","1,076","3,759",314,0.02%,0.12%,0.00%,0.00%,0.06%,--,2084,105,1625,5,343,6,0,5.71,"483,368","12,937.00",2.75%
"Cultura Colectiva Video",culturacolectivavideo,http://www.facebook.com/1534904903484612,"157,993","35,482","10,687","71,973","2,508,450","4,532,129","7,040,579",36%,"79,567.00",0,69:16:20,"1,206","33,281","4,286","1,150",755,379,0.01%,0.00%,0.00%,0.00%,0.01%,--,1958,131,237,1,1395,194,0,5.36,"1,084,685","-8,816.00",-0.81%
"Milenio Hidalgo",MilenioHgo,http://www.facebook.com/151786458164965,"138,641","55,929","5,270","48,818","274,634","33,331","307,965",89%,"116,374.00",63,03:06:16,5,"6,291","7,238","7,035","4,151","3,909",0.05%,0.03%,0.06%,--,0.05%,0.00%,6974,766,5626,0,150,430,2,19.11,"39,098","6,436.00",19.70%
"CNN Dinero",cnndinero,http://www.facebook.com/193815757315863,"100,402","57,783","9,007","20,330","27,329","103,739","131,068",21%,797.00,0,00:15:20,2,"1,808","5,677","2,958","1,088","1,751",0.01%,--,0.01%,--,0.23%,--,2624,0,2619,0,3,2,0,7.19,"360,129",651.00,0.18%
"El Heraldo de Chiapas",OEMElHeraldoDeChiapas,http://www.facebook.com/1538465666463838,"94,006","33,875","3,911","42,861","186,682","211,458","398,140",47%,"4,555.00","23,492",03:51:03,7,917,"7,013","1,113","2,278","2,038",0.03%,0.01%,0.02%,0.01%,0.11%,0.01%,14987,517,13821,42,559,47,1,41.06,"24,661","7,583.00",44.40%
Holsum,Holsumpr,http://www.facebook.com/103366036373,"93,902","70,912","3,409","11,479","795,082","133,874","928,956",86%,125.00,0,00:41:24,0,"7,429",343,301,19,10,0.62%,0.71%,0.11%,--,0.57%,0.04%,196,107,4,0,83,1,1,0.54,"81,042","7,436.00",10.10%
"MV Noticias Veracruz",mvnoticiasveracruz,http://www.facebook.com/198733020559041,"76,032","20,711","8,153","34,019","1,956,685","582,506","2,539,191",77%,"83,649.00","69,333",13:46:17,63,"1,493","3,585","3,454","3,331","1,286",0.10%,0.12%,0.04%,0.03%,0.10%,0.00%,2109,857,139,2,979,131,1,5.78,"43,042","12,568.00",41.24%
"El Economista",eleconomista.net,http://www.facebook.com/121091684572369,"75,392","43,587","2,254","18,114","19,750","6,545","26,295",75%,0.00,"7,728",00:03:30,0,"2,691","4,244","2,229","1,120","1,153",0.00%,0.00%,0.00%,0.00%,0.00%,--,7353,1131,5587,580,55,0,0,20.15,"343,981","11,411.00",3.43%
"CNN Showbiz en Español",CNNEShowbiz,http://www.facebook.com/179106362125358,"47,146","27,680","2,483","4,783","13,273","4,619","17,892",74%,0.00,0,00:55:11,4,"4,177","2,735","1,097","3,749",442,0.01%,0.04%,0.01%,--,0.01%,--,2093,22,2039,0,32,0,0,5.73,"160,957","1,081.00",0.68%
"Revista Domingo",RevistaDomingo,http://www.facebook.com/123276508827,"41,820","12,012","1,989","16,994","197,768","332,026","529,794",37%,0.00,0,00:55:43,12,"1,725",209,970,"7,571",350,0.42%,0.17%,0.10%,0.04%,5.79%,--,269,51,203,1,14,0,0,0.74,"39,378","4,335.00",12.37%
"CNN Encuentro",cnnencuentro,http://www.facebook.com/195113273856041,"22,553","11,740","1,034","4,745","269,827","94,793","364,620",74%,"7,929.00",0,05:22:28,13,"1,762","1,396",372,"1,198",306,0.01%,0.02%,0.01%,--,0.01%,--,886,13,667,0,194,12,0,2.43,"258,889","-1,005.00",-0.39%
"Café CNN",cafecnn,http://www.facebook.com/168713913180012,"21,133","8,201","2,635","5,504",0,0,0,0%,575.00,0,00:00:00,0,619,"1,183","1,022",956,"1,013",0.01%,0.00%,0.01%,0.00%,--,--,1190,3,1185,1,0,1,0,3.26,"203,448",-530.00,-0.26%
"Clasificados Prensa Libre",ClasificadosPrensaLibre,http://www.facebook.com/1238498616183804,"17,625","13,514","1,121","2,289","13,836",442,"14,278",97%,0.00,"1,917",00:01:34,0,476,77,119,16,13,0.11%,0.12%,0.06%,--,0.02%,--,102,78,14,0,10,0,0,0.28,"174,673","25,970.00",17.46%
"Panorama Mundial CNN",panoramamundialcnn,http://www.facebook.com/132731453452776,"16,803","8,231","1,448","3,297","1,470",22,"1,492",99%,719.00,0,00:00:10,0,640,"1,211",458,871,647,0.01%,0.01%,0.01%,--,0.04%,--,747,1,743,0,1,2,0,2.05,"234,551","4,955.00",2.16%
"CNN Directo USA",CNNDUSA,http://www.facebook.com/171126609572411,"14,461","6,453","4,301","1,356","18,143","3,288","21,431",85%,"1,670.00",0,01:13:27,6,397,750,632,211,361,0.01%,0.01%,0.01%,--,0.01%,--,917,2,873,0,38,4,0,2.51,"130,188",-453.00,-0.35%
"CNN México Opina",cnnmexicoopina,http://www.facebook.com/114114715338741,"11,308","2,099",864,"6,002","33,917","130,831","164,748",21%,"1,191.00",0,00:18:46,1,"1,325",144,395,149,330,0.10%,0.04%,0.04%,0.17%,0.55%,0.02%,123,12,87,1,15,4,4,0.34,"93,216",270.00,0.29%
"verne México",vernemexico,http://www.facebook.com/224443741320228,"9,304","3,839",336,"3,299","2,986","7,039","10,025",30%,219.00,0,00:25:07,2,666,217,622,82,243,0.03%,0.05%,0.03%,--,0.04%,--,519,4,501,0,12,2,0,1.42,"52,307",946.00,1.84%
"Periódico a.m. Lagos de Moreno",periodicoamlagos,http://www.facebook.com/127805597325130,"8,955","3,901",429,"2,364","23,307","26,292","49,599",47%,"10,863.00",385,00:18:42,2,97,693,253,689,529,0.16%,0.15%,0.16%,0.06%,0.22%,0.01%,141,22,98,2,10,8,1,0.39,"40,810","2,801.00",7.37%
"Noticias Mexico",LasNoticiasMexico,http://www.facebook.com/257269514288447,"6,443","2,170",550,"2,034","87,781","10,421","98,202",89%,"10,799.00",29,00:43:39,6,146,239,900,65,339,0.00%,0.01%,0.00%,0.00%,0.05%,--,1171,453,37,626,23,32,0,3.21,"159,040","10,791.00",7.28%
"Instituto de Prensa-SIP",institutodeprensa,http://www.facebook.com/215790655136,"4,591","3,203",123,969,139,62,201,69%,0.00,0,00:01:25,0,60,99,11,67,59,0.18%,1.41%,0.10%,0.03%,0.14%,0.08%,328,24,279,16,3,0,6,0.90,"7,423",371.00,5.26%
"Revista Amiga Prensa Libre",revistaamigapl,http://www.facebook.com/103741689692648,"3,906","3,088",95,381,"3,913","8,160","12,073",32%,636.00,0,00:05:32,0,284,27,15,12,4,0.03%,0.06%,0.02%,--,0.06%,--,310,42,260,0,5,3,0,0.85,"42,809",795.00,1.89%
"Clix CNN",ClixCNN,http://www.facebook.com/160415532685,"2,316","1,486",76,550,"34,955","17,085","52,040",67%,"8,756.00",0,00:14:59,3,94,59,44,2,5,0.09%,0.07%,0.05%,--,0.11%,--,13,1,3,0,8,1,0,0.04,"198,549","-1,038.00",-0.52%
"El Siglo de México",,http://www.facebook.com/1870998949839678,"1,713",533,88,607,"20,280","4,922","25,202",80%,0.00,0,00:14:42,1,15,163,77,27,203,0.02%,0.01%,0.01%,--,0.08%,--,60,3,46,0,11,0,0,0.16,"128,172","-3,452.00",-2.62%
"CNN Choque de Opiniones",CNNChoque,http://www.facebook.com/164051310300490,177,46,107,19,"2,046",88,"2,134",96%,0.00,0,00:07:05,0,3,0,0,0,2,0.05%,0.07%,--,--,0.05%,--,7,1,0,0,6,0,0,0.02,"49,959",-257.00,-0.51%
"CNN en Marcha",cnnenmarcha,http://www.facebook.com/549278788565319,99,50,22,22,"1,065","18,884","19,949",5%,173.00,0,00:00:24,0,4,1,0,0,0,0.03%,0.04%,0.03%,--,0.06%,--,10,1,6,0,2,1,0,0.03,"27,087",54.00,0.20%
"CNN Español Red Room",cnneredroom,http://www.facebook.com/1065029540224107,3,3,0,0,106,0,106,100%,0.00,0,00:00:10,0,0,0,0,0,0,0.06%,--,--,--,0.06%,--,1,0,0,0,1,0,0,0.00,"5,107",714.00,16.25%
Esmas,esmas.oficial,http://www.facebook.com/415693197624,0,0,0,0,0,0,0,0%,0.00,0,00:00:00,0,0,0,0,0,0,--,--,--,--,--,--,"No posts in this timeframe",0,0,0,0,0,0,0,"313,855","-5,760.00",-1.80%
"Fuerza en Movimiento",FuerzaCNN,http://www.facebook.com/667721956669494,0,0,0,0,0,0,0,0%,0.00,0,00:00:00,0,0,0,0,0,0,--,--,--,--,--,--,"No posts in this timeframe",0,0,0,0,0,0,0,"22,594",-238.00,-1.04%
Average,,,"8,406,996","2,933,542","641,257","2,341,432","45,656,051","18,059,311","63,715,362",72%,"2,117,466","1,412,659",54:36:32,355.87,"478,666","388,602","866,884","265,989","490,625",0.06%,0.06%,0.04%,0.02%,0.23%,0.01%,"12,997.34","1,086.50","10,107.13",39.36,"1,547.37",0.00,21.28,35.61,"1,485,894","99,361",11.02%
