Page,Codename,URL,"Total Interactions",Likes,Comments,Shares,"Owned Post Views","Owned Views from Shares","Owned Total Views","Percentage Views from Owned Posts","Views on Shared Posts","Views While Live","Video Time","3-Min+ Videos",Loves,Wows,Hahas,Sads,Angrys,"All Interaction Rate",Photos,Links,Statuses,"Facebook Videos","Other Videos","Total Posts","Photo Posts","Link Posts","Status Posts","Owned Video Posts","Shared Video Posts","Other Video Posts","Posts Per Day","Page Likes","Page Growth","Page Growth %"
"Prensa Libre",prensalibregt,http://www.facebook.com/345419408148,"15,832,818","7,480,183","1,835,953","2,245,898","22,574,335","5,348,697","27,923,032",81%,"3,712,643.00","5,882,527",17:23:17,39,"651,467","707,855","1,057,559","684,461","1,169,442",0.03%,0.02%,0.03%,0.01%,0.06%,0.00%,20296,1792,17730,6,603,163,2,55.61,"2,770,191","97,035.00",3.63%
"Imagen Noticias",ImagenTVNoticia,http://www.facebook.com/543297035830962,"15,341,978","5,070,960","1,138,907","4,955,415","383,314,151","117,621,247","500,935,398",77%,"641,335.00","4,251,660",856:57:18,"5,232","979,067","695,128","1,012,148","590,328","900,025",0.05%,0.01%,0.06%,0.01%,0.05%,0.00%,23230,326,4015,6,18674,151,58,63.64,"1,707,721","541,193.00",46.39%
Chilango,ChilangoOficial,http://www.facebook.com/118426734898659,"14,989,078","5,571,249","1,171,422","4,425,045","14,286,676","2,605,762","16,892,438",85%,"67,282.00","125,107",16:34:58,70,"1,223,676","1,009,491","692,006","315,877","580,312",0.07%,0.10%,0.07%,0.01%,0.05%,0.00%,12581,150,11930,4,487,6,4,34.47,"1,930,799","243,714.00",14.45%
"La Prensa",laprensanicaragua,http://www.facebook.com/331753224789,"13,741,572","5,076,336","1,025,337","4,070,880","25,026,456","11,957,954","36,984,410",68%,"83,812.00","2,938,842",13:23:06,68,"707,603","334,875","633,146","849,912","1,043,483",0.06%,0.07%,0.05%,0.07%,0.17%,--,17590,1322,15387,9,866,6,0,48.19,"1,398,197","51,899.00",3.85%
Sopitas,sopitas,http://www.facebook.com/114385191920550,"12,565,324","3,692,936","923,547","2,766,262","35,233,607","20,088,521","55,322,128",64%,"681,476.00","114,855",16:02:35,88,"1,163,138","710,116","2,131,428","522,180","655,717",0.06%,0.06%,0.06%,0.03%,0.10%,0.00%,13230,1188,11222,22,705,72,21,36.25,"1,642,137","51,345.00",3.23%
Brozo,BrozoOficial,http://www.facebook.com/563777887007173,"12,469,431","4,535,153","1,195,047","3,472,689","23,424,821","3,410,973","26,835,794",87%,"5,108,862.00",0,10:54:50,13,"268,142","309,327","1,132,870","87,915","1,468,288",0.07%,0.07%,0.07%,0.08%,0.07%,0.02%,4668,16,3963,84,327,171,107,12.79,"3,903,819","-12,730.00",-0.33%
"AJ+ Español",ajplusespanol,http://www.facebook.com/879771572075193,"12,257,290","2,987,637","433,958","6,509,260","169,510,860","158,976,332","328,487,192",52%,"11,295,474.00","451,227",50:52:17,245,"964,532","238,478","214,069","465,325","444,031",0.18%,0.02%,0.02%,0.01%,0.22%,--,1796,39,77,1,1456,223,0,4.92,"3,831,626","247,936.00",6.92%
bbmundo,bbmundo,http://www.facebook.com/206610795539,"11,707,334","2,560,011","658,121","5,526,803","82,898,846","107,992,531","190,891,377",43%,"7,736,659.00","204,345",07:27:08,39,"1,200,700","177,816","1,434,179","128,783","20,921",0.11%,0.11%,0.03%,0.01%,0.63%,0.01%,3804,1141,2115,18,361,142,27,10.42,"3,012,536","455,088.00",17.79%
Pictoline,pictoline,http://www.facebook.com/1598399590419180,"10,700,027","3,378,773","308,318","3,988,148","5,347,341","4,639,453","9,986,794",54%,0.00,0,00:34:19,0,"1,562,676","310,623","472,900","590,293","88,296",0.56%,0.58%,--,--,0.35%,--,614,547,0,0,67,0,0,1.68,"3,222,852","237,019.00",7.94%
"Cultura Colectiva News",culturacolectivanews,http://www.facebook.com/1821141498113943,"9,646,320","2,523,057","356,974","4,244,011","55,011,251","39,268,195","94,279,446",58%,"37,210.00","167,451",74:41:20,"1,014","574,600","512,284","485,401","383,912","566,081",0.02%,0.02%,0.02%,0.00%,0.04%,0.00%,16066,720,13257,9,2062,17,1,44.02,"3,331,495","104,954.00",3.25%
